date,Ticker,BDH_Value,Return
5/30/2013,M9WO0RE Index,212.8377,-0.014611993
5/31/2013,M9WO0RE Index,211.4286,-0.006620538
6/3/2013,M9WO0RE Index,211.074,-0.001677162
6/4/2013,M9WO0RE Index,210.4958,-0.002739324
6/5/2013,M9WO0RE Index,207.2178,-0.015572757
6/6/2013,M9WO0RE Index,208.7743,0.00751142
6/7/2013,M9WO0RE Index,209.134,0.001722913
6/10/2013,M9WO0RE Index,208.3791,-0.003609647
6/11/2013,M9WO0RE Index,204.9397,-0.016505494
6/12/2013,M9WO0RE Index,203.169,-0.008640102
6/13/2013,M9WO0RE Index,205.5363,0.011651876
6/14/2013,M9WO0RE Index,207.508,0.009592953
6/17/2013,M9WO0RE Index,208.4122,0.004357422
6/18/2013,M9WO0RE Index,208.9888,0.002766633
6/19/2013,M9WO0RE Index,206.1446,-0.013609342
6/20/2013,M9WO0RE Index,197.7009,-0.040960083
6/21/2013,M9WO0RE Index,197.182,-0.002624672
6/24/2013,M9WO0RE Index,195.324,-0.009422767
6/25/2013,M9WO0RE Index,197.6794,0.012058938
6/26/2013,M9WO0RE Index,199.9041,0.011254081
6/27/2013,M9WO0RE Index,204.0165,0.020571864
6/28/2013,M9WO0RE Index,204.9419,0.004535908
7/1/2013,M9WO0RE Index,204.2409,-0.003420482
7/2/2013,M9WO0RE Index,206.6718,0.011902121
7/3/2013,M9WO0RE Index,206.0281,-0.0031146
7/4/2013,M9WO0RE Index,206.5598,0.002580716
7/5/2013,M9WO0RE Index,205.9773,-0.002820007
7/8/2013,M9WO0RE Index,204.541,-0.006973098
7/9/2013,M9WO0RE Index,207.2438,0.013213977
7/10/2013,M9WO0RE Index,207.4094,7.99E-04
7/11/2013,M9WO0RE Index,212.2621,0.023396722
7/12/2013,M9WO0RE Index,211.674,-0.002770631
7/15/2013,M9WO0RE Index,211.5807,-4.41E-04
7/16/2013,M9WO0RE Index,211.9516,0.001752995
7/17/2013,M9WO0RE Index,212.2079,0.001209238
7/18/2013,M9WO0RE Index,212.2052,-1.27E-05
7/19/2013,M9WO0RE Index,212.1377,-3.18E-04
7/22/2013,M9WO0RE Index,213.3549,0.005737783
7/23/2013,M9WO0RE Index,213.6427,0.001348926
7/24/2013,M9WO0RE Index,210.9421,-0.012640731
7/25/2013,M9WO0RE Index,210.8831,-2.80E-04
7/26/2013,M9WO0RE Index,210.9508,3.21E-04
7/29/2013,M9WO0RE Index,209.2962,-0.007843535
7/30/2013,M9WO0RE Index,208.7448,-0.002634544
7/31/2013,M9WO0RE Index,205.8445,-0.013893999
8/1/2013,M9WO0RE Index,206.3998,0.002697667
8/2/2013,M9WO0RE Index,207.4473,0.005075102
8/5/2013,M9WO0RE Index,207.71,0.001266346
8/6/2013,M9WO0RE Index,207.9742,0.001271966
8/7/2013,M9WO0RE Index,206.2,-0.008530866
8/8/2013,M9WO0RE Index,206.986,0.003811833
8/9/2013,M9WO0RE Index,207.3493,0.001755191
8/12/2013,M9WO0RE Index,206.0492,-0.006270096
8/13/2013,M9WO0RE Index,204.7558,-0.006277142
8/14/2013,M9WO0RE Index,204.7779,0.000107933
8/15/2013,M9WO0RE Index,201.9816,-0.013655282
8/16/2013,M9WO0RE Index,199.5487,-0.012045157
